,"포항시,대송면"
"울릉군,북면",2.183164509061547
"울릉군,서면",2.105399046569185
"울릉군,울릉읍",2.1640140263865453
"울진군,매화면",0.9449691616322691
"울진군,금강송면",0.9736344414388806
"울진군,후포면",0.7144911309500168
"울진군,죽변면",1.0930266077936959
"울진군,온정면",0.7556828000775179
"울진군,기성면",0.8347211543269968
"울진군,근남면",0.9948879821170208
"울진군,북면",1.1364742315481682
"울진군,평해읍",0.7639093151109514
"울진군,울진읍",1.0296031980926308
"봉화군,석포면",1.119661491162081
"봉화군,상운면",1.0556945017835373
"봉화군,명호면",1.0021055397118643
"봉화군,재산면",0.9363491367059192
"봉화군,소천면",1.0328021222575592
"봉화군,춘양면",1.0641512708205572
"봉화군,법전면",1.058828883936757
"봉화군,봉성면",1.065501514102164
"봉화군,물야면",1.1844561742837516
"봉화군,봉화읍",1.1089309117247135
"예천군,은풍면",1.201524541577188
"예천군,효자면",1.237018985133621
"예천군,풍양면",1.1913844568505176
"예천군,지보면",1.1297131661948439
"예천군,개포면",1.1817133469162406
"예천군,용궁면",1.2576985645427061
"예천군,유천면",1.1770284244146394
"예천군,호명면",1.0892463222214697
"예천군,보문면",1.0983263330840174
"예천군,감천면",1.1230395452881508
"예천군,용문면",1.1921868191827196
"예천군,예천읍",1.138746122600072
"칠곡군,기산면",0.9773024616883956
"칠곡군,약목면",0.9982567169671254
"칠곡군,가산면",0.8293764369992217
"칠곡군,동명면",0.8066222438540569
"칠곡군,지천면",0.8689734770711165
"칠곡군,석적읍",0.9638940255290166
"칠곡군,북삼읍",1.0213538269168745
"칠곡군,왜관읍",0.9623423081861401
"성주군,월항면",1.0443758966512091
"성주군,초전면",1.0966291051075496
"성주군,벽진면",1.1436363798486444
"성주군,대가면",1.1326582649550254
"성주군,금수면",1.185159903791906
"성주군,가천면",1.196683406946466
"성주군,수륜면",1.1753755887770618
"성주군,용암면",1.0315694703294953
"성주군,선남면",1.010403840800801
"성주군,성주읍",1.0717825789076865
"고령군,쌍림면",1.1546898766329277
"고령군,우곡면",1.058493394842418
"고령군,개진면",1.042832447175014
"고령군,다산면",0.9198691809159139
"고령군,성산면",1.0236703739944923
"고령군,운수면",1.087911161805515
"고령군,덕곡면",1.1427510896713364
"고령군,대가야읍",1.1178979014936872
"청도군,매전면",0.5875267510771028
"청도군,금천면",0.5456187267520329
"청도군,운문면",0.5133965383843156
"청도군,이서면",0.7539460179933395
"청도군,각북면",0.8203766786598831
"청도군,풍각면",0.8115136768375595
"청도군,각남면",0.7733898864012544
"청도군,청도읍",0.6933036041434382
"청도군,화양읍남성현출장",
"청도군,화양읍",0.7273007231297075
"영덕군,창수면",0.5778179732632026
"영덕군,병곡면",0.6358970748519668
"영덕군,영해면",0.5710101370317285
"영덕군,축산면",0.5432117552860889
"영덕군,지품면",0.4862964633389758
"영덕군,달산면",0.4343477272428154
"영덕군,남정면",0.31766435092760775
"영덕군,강구면",0.3937857288036704
"영덕군,영덕읍",0.4411488635116202
"영양군,석보면",0.6348293671129293
"영양군,수비면",0.8121157129498222
"영양군,일월면",0.7694600736337285
"영양군,청기면",0.7539164583570809
"영양군,입암면",0.6804696482239248
"영양군,영양읍",0.7406758858677619
"청송군,진보면",0.6425086701173771
"청송군,파천면",0.5901998331446726
"청송군,안덕면",0.5125234387037682
"청송군,현서면",0.5565654085062123
"청송군,현동면",0.47063746251758926
"청송군,부남면",0.47900708021698846
"청송군,주왕산면",0.4371156961103117
"청송군,청송읍",0.5557034766906772
"의성군,안사면",1.0103877186272912
"의성군,안평면",0.876589046672377
"의성군,신평면",0.995223377162125
"의성군,다인면",1.115504802342874
"의성군,안계면",1.0092023529203555
"의성군,단북면",1.043000430119279
"의성군,단밀면",1.0598188560414512
"의성군,구천면",1.0017371422583852
"의성군,비안면",0.9447184955043599
"의성군,봉양면",0.8511047463825762
"의성군,금성면",0.7393632752071219
"의성군,가음면",0.6885640864327813
"의성군,춘산면",0.6106741225330276
"의성군,사곡면",0.6643810159885108
"의성군,옥산면",0.6946381916525031
"의성군,점곡면",0.7470235018923179
"의성군,단촌면",0.8220677171808238
"의성군,의성읍",0.7697536401799987
"군위군,고로면",0.5860683518149215
"군위군,산성면",0.6827527180910952
"군위군,의흥면",0.6772736999603731
"군위군,우보면",0.7339552254906313
"군위군,부계면",0.7082208839691262
"군위군,효령면",0.7971009798770903
"군위군,소보면",0.9299363059992054
"군위군,군위읍",0.8364378937642862
"경산시,갑제동",0.6069783676755015
"경산시,삼풍동",0.6213608006834855
"경산시,사동",0.6271927129886092
"경산시,평산동",0.6196767312284834
"경산시,점촌동",0.6150780852264074
"경산시,신천동",0.5978929258872416
"경산시,유곡동",0.6085188705586864
"경산시,여천동",0.597437618187892
"경산시,내동",0.5946392267804238
"경산시,남방동",0.5887882707952007
"경산시,조영동",0.6182107283329968
"경산시,계양동",0.6298371837435449
"경산시,대동",0.6226399257914297
"경산시,임당동",0.6257422054056991
"경산시,대정동",0.6378760500489257
"경산시,대평동",0.6401147648867416
"경산시,정평동",0.6457300779768579
"경산시,중산동",0.6537833854007109
"경산시,옥산동",0.657862528972431
"경산시,사정동",0.6559793827792899
"경산시,옥곡동",0.6528368566694103
"경산시,백천동",0.638709366790561
"경산시,상방동",0.634619277382907
"경산시,신교동",0.6391059978016129
"경산시,서상동",0.6431123651198053
"경산시,삼북동",0.6379652885745489
"경산시,삼남동",0.6400297046434773
"경산시,동부동",0.6265491838459742
"경산시,북부동",0.6280775740026028
"경산시,서부2동",0.6495351994668914
"경산시,서부1동",0.6491258744680148
"경산시,남부동",0.6398178602159909
"경산시,중앙동",0.6372363365130518
"경산시,중방동",0.6417804314942975
"경산시,남천면",0.664470405045244
"경산시,압량면",0.6130584100528206
"경산시,남산면",0.5511622954049141
"경산시,용성면",0.5148142048114523
"경산시,자인면",0.5572401736002272
"경산시,와촌면",0.5238867304748458
"경산시,진량읍",0.5518655055071019
"경산시,하양읍",0.5505023961310352
"문경시,윤직동",1.3128511839603179
"문경시,모전동",1.3277907033294036
"문경시,공평동",1.351801272230503
"문경시,유곡동",1.3682076594676846
"문경시,불정동",1.3962208216560816
"문경시,신기동",1.365885316937693
"문경시,창동",1.3437394336797566
"문경시,우지동",1.3329034995175102
